"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-11","0.44","52","44",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-12","0.36","64","50",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-13","0.51","52","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-14","0.00","45","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-15","0.00","47","30",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-16","0.00","53","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-17","0.00","57","34",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-18","0.00","64","35",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-19","0.00","58","32",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-20","0.00","43","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-21","0.00","51","26",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-22","0.00","49","39",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-23","0.01","55","41",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-24","0.08","47","31",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-25","0.10","54","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-26","0.07","63","47",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-27","0.00","62","36",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-28","0.00","40","32",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-29","0.28","56","38",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-11-30","0.20","58","32",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-01","0.00","42","27",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-02","0.00","46","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-03","0.00","33","21",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-04","0.00","33","17",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-05","0.00","36","24",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-06","0.39","40","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-07","0.10","66","40",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-08","0.22","43","35",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-09","0.54","48","41",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-10","0.99","54","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-11","0.00","30","18",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-12","0.12","47","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-13","0.35","62","47",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-14","0.07","57","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-15","0.00","31","19",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-16","0.00","28","14",
